Nombre,Artista,Álbum,Fecha añadida,Duración (ms),Popularidad,Géneros
Woo,Rihanna,ANTI (Deluxe),2025-04-19T23:20:54Z,235586,77,
Smooth Criminal - 2012 Remaster,Michael Jackson,Bad (Remastered),2025-04-19T22:47:27Z,257760,79,
Thriller,Michael Jackson,Thriller,2025-04-19T22:47:21Z,357800,75,
Don't Stop 'Til You Get Enough,Michael Jackson,Off the Wall,2025-04-19T22:42:55Z,365466,81,
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,Bad (Remastered),2025-04-19T22:36:11Z,298120,79,
Chicago,Michael Jackson,XSCAPE,2025-04-19T22:31:41Z,245506,82,
Judas,Lady Gaga,Born This Way (International Special Edition Version),2025-04-19T22:29:25Z,249066,87,"art pop, pop"
Poker Face,Lady Gaga,The Fame,2025-04-19T22:20:06Z,237200,88,"art pop, pop"
Garden Of Eden,Lady Gaga,MAYHEM,2025-04-19T22:15:39Z,239720,84,"art pop, pop"
Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),2025-04-19T22:06:20Z,294573,89,"art pop, pop"
Just Dance,Lady Gaga,The Fame,2025-04-19T21:46:05Z,241933,87,"art pop, pop"
Abracadabra,Lady Gaga,MAYHEM,2025-04-19T21:35:03Z,223398,87,"art pop, pop"
GLORY,Ogryzek,GLORY,2025-04-19T17:43:41Z,149522,83,"phonk, brazilian phonk"
LEGACY,Ogryzek,LEGACY,2025-04-19T17:11:56Z,120339,58,"phonk, brazilian phonk"
NEXT UP!,NCTS,NEXT UP!,2025-04-19T17:06:58Z,85846,58,"phonk, brazilian phonk"
NEXT!,NCTS,NEXT!,2025-04-19T16:25:36Z,99692,82,"phonk, brazilian phonk"
SLAVA FUNK!,MVSTERIOUS,EVOLUTION FUNK VOL. II,2025-04-19T16:16:52Z,113161,74,"phonk, brazilian phonk"
Goosebumps,Travis Scott,The Hate U Give (Original Motion Picture Soundtrack),2025-04-19T16:01:30Z,243840,61,rap
Walls Could Talk,Halsey,hopeless fountain kingdom (Deluxe Plus),2025-04-18T14:42:44Z,101789,74,
Ganas De Ti,Arcángel,El Fenomeno,2025-04-16T23:15:44Z,174200,74,"reggaeton, trap latino, urbano latino"
Pienso En Ti,Arcángel,El Fenomeno,2025-04-16T23:15:37Z,193186,51,"reggaeton, trap latino, urbano latino"
Por Amar A Ciegas,Arcángel,El Fenomeno,2025-04-16T23:15:35Z,234026,72,"reggaeton, trap latino, urbano latino"
Me Acostumbre (feat. Bad Bunny),Arcángel,Me Acostumbre (feat. Bad Bunny),2025-04-16T23:15:28Z,263288,75,"reggaeton, trap latino, urbano latino"
Me Ama Me Odia,Revol,Me Ama Me Odia,2025-04-16T23:15:26Z,326936,77,
Me Prefieres A Mi,Arcángel,Me Prefieres A Mi,2025-04-16T23:15:22Z,195657,78,"reggaeton, trap latino, urbano latino"
FE!N (feat. Playboi Carti),Travis Scott,UTOPIA,2025-04-16T23:14:07Z,191700,89,rap
Please Me,Cardi B,Please Me,2025-04-16T21:05:24Z,200889,81,
Timeless (feat Playboi Carti),The Weeknd,Hurry Up Tomorrow,2025-04-16T21:03:34Z,256000,95,
Blinding Lights,The Weeknd,After Hours,2025-04-16T21:03:32Z,200040,92,
Starboy,The Weeknd,Starboy,2025-04-16T21:03:29Z,230453,92,
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),2025-04-16T21:03:28Z,244684,94,
Bitch Better Have My Money,Rihanna,Bitch Better Have My Money,2025-04-16T20:51:36Z,219305,77,
Work,Rihanna,ANTI (Deluxe),2025-04-16T20:51:09Z,219320,81,
Kiss It Better,Rihanna,ANTI (Deluxe),2025-04-16T20:49:55Z,253080,83,
Love On The Brain,Rihanna,ANTI,2025-04-16T20:49:41Z,224000,52,
Same Ol’ Mistakes,Rihanna,ANTI,2025-04-16T20:48:49Z,397093,44,
Woo,Rihanna,ANTI,2025-04-16T20:41:37Z,235586,47,
Desperado,Rihanna,ANTI,2025-04-16T20:36:22Z,186466,47,
Work,Rihanna,ANTI,2025-04-16T20:32:30Z,219320,57,
Kiss It Better,Rihanna,ANTI,2025-04-16T20:28:37Z,253080,50,
Consideration,Rihanna,ANTI,2025-04-16T20:27:37Z,161066,47,
This Is What You Came For,Calvin Harris,96 Months,2025-04-16T20:21:50Z,221900,84,edm
Stay,Rihanna,Unapologetic (Edited Version),2025-04-16T20:21:45Z,240706,80,
Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,2025-04-16T20:12:28Z,275986,86,
Love On The Brain,Rihanna,ANTI (Deluxe),2025-04-16T20:12:21Z,224000,87,
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,2025-04-16T20:07:40Z,267080,86,
Breakin' Dishes,Rihanna,Good Girl Gone Bad: Reloaded,2025-04-16T19:59:05Z,200573,87,
Mrs. Potato Head,Melanie Martinez,Cry Baby (Deluxe Edition),2025-04-16T19:52:38Z,217506,73,
Pity Party,Melanie Martinez,Cry Baby (Deluxe Edition),2025-04-16T19:37:25Z,204085,72,
Carousel,Melanie Martinez,Cry Baby (Deluxe Edition),2025-04-16T17:54:46Z,230160,67,
DEATH,Melanie Martinez,PORTALS (Deluxe),2025-04-16T17:52:50Z,306655,56,
Mad Hatter,Melanie Martinez,Cry Baby (Deluxe Edition),2025-04-16T17:41:36Z,201520,72,
Teacher's Pet,Melanie Martinez,K-12,2025-04-16T17:28:36Z,241893,76,
TWIT,HWASA,TWIT,2025-04-16T17:16:12Z,190785,58,k-pop
Maria,HWASA,María,2025-04-16T16:47:48Z,199026,70,k-pop
Cala Boca y Risada,Dj LD,Cala Boca y Risada,2025-04-15T19:31:24Z,139888,28,"brazilian phonk, phonk"
Don't Mind - Slowed & Reverb,Nenadid,Don't Mind,2025-04-15T19:22:58Z,253553,51,
Don't Mind - Kent Jones Refix,Emmynence,Don't Mind (Kent Jones Refix),2025-04-15T19:21:56Z,195134,34,
Pa' Que La Pases Bien,Arcángel,El Fenomeno,2025-04-15T05:30:23Z,214120,81,"reggaeton, trap latino, urbano latino"
Long Way 2 Go,Cassie,Cassie (U.S. Version),2025-04-14T16:33:28Z,220639,82,
Don't,Bryson Tiller,T R A P S O U L,2025-04-14T15:50:45Z,198293,87,"trap soul, r&b"
In For It,Tory Lanez,In For It,2025-04-14T15:21:37Z,293306,77,
Fetish (feat. Gucci Mane),Selena Gomez,Fetish (feat. Gucci Mane),2025-04-14T14:46:15Z,186112,79,
SHE WILL - Instrumental,XXKATUSJINSUX,SHE WILL (Instrumental),2025-04-09T23:38:16Z,63182,67,
Can't Feel Myself - Edit,dadanny,Can't Feel Myself,2025-04-08T23:57:26Z,224160,59,
RITMO ANABOLICO,Kobe Mane,RITMO ANABOLICO,2025-04-01T15:59:10Z,89076,23,"brazilian phonk, phonk"
Risa Maldita,Dj LD,Risa Maldita,2025-04-01T15:29:33Z,96408,37,"brazilian phonk, phonk"
GOOD FOR YOU,xxtristanxo,GOOD FOR YOU,2025-03-24T20:19:50Z,136950,57,
how could u love somebody like me?,Artemas,how could u love somebody like me?,2025-03-19T17:41:50Z,126447,75,
Freak (feat. REI AMI),Sub Urban,Thrill Seeker,2025-03-19T17:12:42Z,194000,71,
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,HEROES & VILLAINS,2025-03-05T00:23:35Z,199920,86,
The Way I Are,Timbaland,Shock Value,2025-03-04T19:32:07Z,179120,86,
Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs,Heads Will Roll (A-Trak Remix),2025-03-04T19:26:00Z,383893,71,indie rock
GO! - slowed,7sirens,GO! (slowed),2025-03-04T16:53:37Z,132128,65,jersey club
Hayloft,Mother Mother,O My Heart,2025-03-04T16:39:46Z,181680,6,
#icanteven (feat. French Montana),The Neighbourhood,#000000 & #FFFFFF (No DJ Version),2025-02-28T23:17:15Z,234480,65,
Rich Girl,Gwen Stefani,Love. Angel. Music. Baby. (Deluxe Version),2025-02-27T17:33:24Z,236213,72,
Yummy - Righteous Remix,Ayesha Erotica,Yummy (Righteous Remix),2025-02-27T17:27:31Z,164001,78,hyperpop
Love Potions Slowed and Reverbed,BJ Lips,Love Potions Slowed and Reverbed,2025-02-27T17:27:19Z,207567,76,
P*RNSTAR,Nessa Barrett,AFTERCARE,2025-02-27T17:19:35Z,149440,81,
Dirty Cash (Money Talks),PAWSA,Dirty Cash (Money Talks),2025-02-27T17:11:17Z,221448,84,"tech house, house"
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,Planet Pit (Deluxe Version),2025-02-27T16:34:47Z,234453,84,
Lolly,Maejor,Lolly,2025-02-27T16:34:38Z,225506,68,
New Jeans - Jersey Club,Dxrkaii,New Jeans (Jersey Club),2025-02-27T16:14:23Z,98839,42,jersey club
You Know You Like It - Slowed + Reverb,13Aurora,You Know You Like It (Slowed + Reverb),2025-02-25T16:03:01Z,247697,40,
War Of Hearts,Ruelle,Up In Flames,2025-02-23T18:48:19Z,226216,74,
ГЛАМУР,uniqe,GLAMOUR,2025-02-23T18:47:13Z,188411,71,
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",Sevdaliza,"Ride Or Die, Pt. 2",2025-02-23T18:46:50Z,158728,86,
Love Story,Indila,Mini World,2025-02-23T18:46:44Z,316280,79,french pop
Motivation,Kelly Rowland,Here I Am (Deluxe Version),2025-02-23T16:40:19Z,230560,71,
SHAKE THAT SHIT!,jnhygs,KOLLECTIVE,2025-02-21T15:08:04Z,155028,66,"jersey club, hyperpop"
WET DREAMS - Slowed & Reverbed,ODECORE,WET DREAMS (NOT IN LOVE),2025-02-21T01:42:15Z,151424,41,"nightcore, hyperpop, jersey club"
ON DAT BXTCH! - Slowed,Lumi Athena,ON DAT BXTCH!,2025-02-20T20:31:30Z,131832,62,"hyperpop, phonk, nightcore, jersey club"
older sped up,Isabel LaRosa,older,2025-02-20T20:31:21Z,125252,65,
MOVE YO BODY,Bryansanon,MOVE YO BODY,2025-02-20T20:31:18Z,128182,72,jersey club
GOOD LOYAL THOTS,Odetari,GOOD LOYAL THOTS,2025-02-20T20:31:13Z,102556,76,"hyperpop, nightcore"
ecstacy (slowed),SUICIDAL-IDOL,ecstacy (slowed),2025-02-20T20:31:09Z,119120,78,hyperpop
WET DREAMS (w/ Nimstarr),Odetari,WET DREAMS (w/ Nimstarr),2025-02-20T20:28:08Z,124711,71,"hyperpop, nightcore"
Let's Groove - TikTok Dance Trend,Fenton Rider,Let's Groove - TikTok Dance Trend,2025-02-20T17:34:34Z,252945,17,
Let's Groove (Tonight) [TikTok Remix],Fenton Rider,Let's Groove (Tonight) [TikTok Remix],2025-02-20T17:33:07Z,253036,38,
Love Is a Bitch,Two Feet,Love Is a Bitch,2025-02-20T17:31:49Z,181466,77,
Devil Eyes,Hippie Sabotage,Providence,2025-02-20T17:16:56Z,131271,79,
OKAY,JT,OKAY,2025-02-20T16:05:44Z,164074,66,
Donk - sped up,Quardium,donk v2 (super/sped up/TikTok Ver),2025-02-19T05:22:27Z,180009,43,
Donk,TXKUMOON,Donk,2025-02-19T05:22:09Z,190973,44,jersey club
Not Like Us,Kendrick Lamar,Not Like Us,2025-02-18T19:13:44Z,274192,93,"hip hop, west coast hip hop"
she will - instrumental,932sounds,she will (instrumental),2025-02-17T21:52:48Z,300557,53,jersey club
Intro (Infected),Sickick,Talksick 3,2025-02-17T18:14:56Z,294607,58,
Beast (feat. Waka Flocka),Mia Martina,Beast (feat. Waka Flocka),2025-02-17T18:09:04Z,189970,61,
Desire,Misa Amane,Desire,2025-02-17T18:04:51Z,205310,25,visual kei
Desert Rose x Streets,Luke Muzzic,Desert Rose x Streets,2025-02-17T18:04:45Z,224522,38,
Night Sky,Resist,Night Sky,2025-02-17T18:04:10Z,118980,48,
Come through,Alito,Come through,2025-02-17T18:01:24Z,130223,34,
Blitz - Guitar Remix,MikaJett,Blitz (Guitar Remix),2025-02-17T17:49:37Z,158219,24,
her name,Beneld,her name,2025-02-17T17:39:11Z,160997,60,dark r&b
DO IT - sped up,Beneld,DO IT,2025-02-17T17:02:03Z,134886,46,dark r&b
Dangerous,Kardinal Offishall,Not 4 Sale,2025-02-17T16:43:40Z,246053,80,
Traphouse,Tory Lanez,Traphouse,2025-02-17T16:35:53Z,256133,71,
Just A Lil Bit,50 Cent,The Massacre,2025-02-17T16:26:38Z,237706,82,"east coast hip hop, old school hip hop"
Say It,Tory Lanez,I Told You,2025-02-17T16:17:12Z,237786,81,
She Will,Lil Wayne,Tha Carter IV (Complete Edition),2025-02-17T16:12:22Z,305840,82,"rap, hip hop"
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",CHROMAKOPIA,2025-02-17T16:10:24Z,255915,86,
She Will,Lil Wayne,Tha Carter IV (Explicit Version),2025-02-17T16:05:55Z,305840,82,"rap, hip hop"
Like A G6,Far East Movement,Free Wired,2025-02-17T16:02:40Z,216893,78,
Hoes Come Easy,RJMrLA,O.M.M.I.O 2,2025-02-17T14:52:51Z,166817,70,
Gang Baby,NLE Choppa,SLUT SZN,2025-02-17T14:51:01Z,138180,82,
Temperature,Sean Paul,The Trinity,2025-02-17T14:47:11Z,216320,87,dancehall
Me & U,Cassie,Cassie (U.S. Version),2025-02-17T14:40:16Z,192213,81,
Let Me Love You,Ariana Grande,Dangerous Woman,2025-02-17T14:26:07Z,223853,75,pop
Lollipop,Lil Wayne,Tha Carter III,2025-02-17T14:13:40Z,299333,76,"rap, hip hop"
Life Force - Slowed,Aamadux,Life Force (Slowed),2025-02-12T12:21:45Z,129244,30,
Raise Your Ya Ya x Evil Jordan,Treyvik,Raise Your Ya Ya x Evil Jordan,2025-02-12T12:21:32Z,89610,34,
Tore Up - Guitar Remix,Aamadux,Electric Guitar Covers,2025-02-12T12:10:43Z,120772,39,
THE SUN - Sped Up,BURY,THE SUN (Sped Up),2025-01-11T14:14:30Z,161163,29,dark r&b
Friends,Chase Atlantic,Nostalgia,2025-01-09T17:30:46Z,230010,6,
cross my heart,Artemas,pretty,2025-01-09T06:16:48Z,146216,72,
say my name,BURY,say my name,2025-01-09T06:04:14Z,165148,54,dark r&b
Slow Motion,AMARIA BB,Slow Motion,2025-01-09T05:25:19Z,166000,66,"dancehall, afroswing, uk r&b, afro r&b, afrobeats"
No Wahala,1da Banton,Original Vibe Machine,2025-01-09T05:21:40Z,162285,79,"afrobeats, afrobeat, afropop"
Love Me Back (Fayahh Beat),Trinidad Cardona,Love Me Back (Fayahh Beat),2025-01-09T05:21:36Z,193626,73,
DO IT,Beneld,DO IT,2025-01-09T05:07:13Z,160408,57,dark r&b
Show Me,BURY,Show Me,2025-01-09T04:49:00Z,206400,59,dark r&b
all this time,Toby Mai,all this time,2025-01-09T04:46:18Z,128850,57,dark r&b
The Machine,Reed Wonder,The Machine,2025-01-09T04:45:55Z,192000,79,dark r&b
FEEL,Beneld,FEEL,2025-01-09T04:45:49Z,204000,69,dark r&b
obsessed,zandros,obsessed,2025-01-09T04:45:47Z,180110,76,dark r&b
Good Girl - Sped up,BURY,Good Girl,2024-12-24T07:37:46Z,149670,46,dark r&b
Summer,Calvin Harris,Motion,2022-01-22T17:07:22Z,222533,89,edm
Wherever I Go,OneRepublic,Oh My My (Deluxe),2022-01-22T17:05:29Z,169773,72,soft pop
Right Now,Rihanna,Unapologetic (Deluxe),2022-01-22T17:01:35Z,181626,63,
Vibe (If I Back It Up),Cookiee Kawaii,Vibe (If I Back It Up),2021-12-28T18:05:20Z,83940,57,"jersey club, baltimore club, ballroom vogue"
Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs,Heads Will Roll (A-Trak Remix),2021-12-26T04:39:51Z,383893,2,indie rock
Heads Will Roll,Yeah Yeah Yeahs,It's Blitz!,2021-12-26T04:38:41Z,221000,72,indie rock
All I Need TikTok,lloyd og,All I Need TikTok,2021-12-25T06:25:05Z,178282,0,
All I Need,Lloyd,All I Need,2021-12-25T06:22:45Z,238284,0,r&b
Own Brand Freestyle,FelixThe1st,Own Brand Freestyle,2021-12-25T06:14:03Z,153808,59,
Talk Dirty,Doja Cat,Hot Pink,2021-12-25T01:46:36Z,241480,57,
Options (feat. JID),Doja Cat,Planet Her,2021-12-25T01:25:23Z,159160,62,
Woman,Doja Cat,Planet Her,2021-12-25T01:22:19Z,172626,85,
You Right,Doja Cat,Planet Her,2021-12-25T01:22:15Z,186173,80,
Ain't Shit,Doja Cat,Planet Her,2021-12-25T01:21:59Z,174253,78,
Kiss Me More (feat. SZA),Doja Cat,Planet Her,2021-12-25T01:21:53Z,208666,87,
Best Friend (feat. Doja Cat),Saweetie,Best Friend (feat. Doja Cat) [Remix EP] [Extended Edition],2021-12-25T01:21:41Z,155883,73,
Boss Bitch,Doja Cat,Boss Bitch,2021-12-25T01:15:18Z,134239,79,
Talk - Gil Glaze Remix,Salvatore Ganacci,Talk (Remixes),2021-12-25T01:04:01Z,204870,29,moombahton
Love & War - Yellow Claw G-Funk Remix,Yellow Claw,Love & War (G-Funk Remix),2021-12-25T01:03:57Z,115546,56,"edm, edm trap"
Rojo,Arcángel,Rojo,2021-12-23T16:55:39Z,220360,42,"reggaeton, trap latino, urbano latino"
White Tee,Summer Walker,Love Is...Passionate,2021-12-23T14:00:28Z,211373,42,r&b
Bring It Back,Travis Porter,From Day 1,2021-12-23T05:22:13Z,217906,69,
Frozen,Madonna,Frozen,2021-12-23T05:13:00Z,120157,70,
Toxic,BoyWithUke,Toxic,2021-12-23T05:00:38Z,168020,66,
Team - Slowed Remix,Phoflo,Team (Slowed Remix),2021-12-23T04:58:35Z,139918,0,
Team,Mag.Lo,Team,2021-12-23T04:58:24Z,126062,52,
Babyface Savage (feat. Tory Lanez),Bhad Bhabie,Babyface Savage (feat. Tory Lanez),2021-12-23T04:53:20Z,161160,57,
Hi Bich,Bhad Bhabie,15,2021-12-23T04:19:21Z,105130,63,
Before I Die/Play No Games,Ayzha,Before I Die/Play No Games,2021-12-20T14:13:51Z,264612,0,
Everybody Gets High,MISSIO,Loner,2021-12-20T14:02:28Z,212093,60,
Twisted,MISSIO,Loner,2021-12-20T13:58:17Z,222706,66,
S.L.U.T.,Bea Miller,aurora,2021-12-20T13:54:45Z,179146,64,
Take Me To Church,Hozier,Hozier,2021-12-20T13:50:53Z,241688,86,
Happy Pills,Weathers,Happy Pills,2021-12-20T13:47:34Z,203080,68,
The Other Side Of Paradise,Glass Animals,How To Be A Human Being,2021-12-20T13:38:24Z,320654,73,
Desperado,Rihanna,ANTI (Deluxe),2021-12-20T05:05:05Z,186466,73,
Only Girl (In The World),Rihanna,Loud (Japan Version),2021-12-20T05:00:37Z,235493,88,
S&M,Rihanna,Loud (Japan Version),2021-12-20T04:56:55Z,243600,86,
Jump,Rihanna,Unapologetic (Deluxe),2021-12-20T04:48:56Z,264453,51,
Loveeeeeee Song,Rihanna,Unapologetic (Deluxe),2021-12-20T04:48:54Z,256320,80,
Pour It Up,Rihanna,Unapologetic (Deluxe),2021-12-20T04:41:59Z,161200,73,
Talk,Retronaut,Talk,2021-12-20T04:35:49Z,164800,64,
Beggin',Måneskin,Chosen,2021-12-19T03:00:27Z,211560,87,
Have Mercy,Chlöe,Have Mercy,2021-12-19T02:56:43Z,148778,68,
Pope Is a Rockstar,SALES,SALES LP,2021-12-19T02:43:38Z,187333,71,bedroom pop
Need to Know,Doja Cat,Planet Her,2021-12-19T02:37:19Z,210560,82,
love nwantiti (ah ah ah),CKay,CKay The First,2021-12-19T02:27:53Z,145800,79,"afrobeats, afrobeat, afro r&b, afropop"
MONEY,LISA,LALISA,2021-12-19T02:25:26Z,168227,76,k-pop
Infinity,Jaymes Young,Feel Something,2021-12-19T02:21:15Z,237720,81,
abcdefu,GAYLE,abcdefu,2021-12-19T02:13:37Z,168601,77,"worship, christian, pentecostal"
This Is What You Came For,Calvin Harris,This Is What You Came For,2021-12-19T02:03:25Z,222160,82,edm
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),2021-12-18T05:54:24Z,212000,78,
Me Prefieres a Mí (Remix) [feat. Don Omar],Arcángel,"Pina Records Presenta : La Fórmula , the Company",2021-12-18T03:02:15Z,262360,53,"reggaeton, trap latino, urbano latino"
Hace Mucho Tiempo,Arcángel,"Sentimiento, Elegancia y Maldad",2021-12-18T02:54:42Z,171333,55,"reggaeton, trap latino, urbano latino"
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcángel,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),2021-12-18T02:41:49Z,264000,81,"reggaeton, trap latino, urbano latino"
Infeliz,Arcángel,Historias de un Capricornio,2021-12-18T02:41:46Z,221103,74,"reggaeton, trap latino, urbano latino"
Sigues Con El,Arcángel,Sigues Con El,2021-12-18T02:33:40Z,226532,67,"reggaeton, trap latino, urbano latino"
Si Se Da - Remix,Myke Towers,Si Se da Remix,2021-12-18T02:28:07Z,332240,78,"reggaeton, trap latino, urbano latino"
Praise God,Kanye West,Donda,2021-12-17T18:47:20Z,226652,74,rap
Collard Greens,ScHoolboy Q,Oxymoron (Deluxe),2021-12-17T18:40:03Z,299960,79,
She Knows (feat. Amber Coffman & Cults),J. Cole,Born Sinner (Deluxe Version),2021-12-17T18:15:43Z,296520,77,rap
Deseo Animal,Dalmata,Dalmata Collection,2021-12-17T18:08:57Z,246830,49,reggaeton
Pasarela (feat. Dalmata),DJ Nelson,Mi Historia,2021-12-17T17:52:01Z,227375,46,reggaeton
Dick (feat. Doja Cat),StarBoi3,Dick (feat. Doja Cat),2021-12-17T17:40:06Z,175238,69,
Instant Crush (feat. Julian Casablancas),Daft Punk,Random Access Memories,2021-12-15T18:07:07Z,337560,81,"french house, electronic, electro"
"Harder, Better, Faster, Stronger",Daft Punk,Discovery,2021-12-15T18:02:51Z,226413,75,"french house, electronic, electro"
Alphabet Boy,Melanie Martinez,Cry Baby (Deluxe Edition),2021-12-15T18:02:27Z,253066,64,
Dollhouse,Melanie Martinez,Cry Baby (Deluxe Edition),2021-12-15T17:50:12Z,231853,75,
"Tag, You're It",Melanie Martinez,Cry Baby (Deluxe Edition),2021-12-15T13:52:04Z,189026,74,
Pacify Her,Melanie Martinez,Cry Baby (Deluxe Edition),2021-12-15T07:24:25Z,220013,76,
Cake,Melanie Martinez,Cry Baby (Deluxe Edition),2021-12-15T07:20:57Z,199681,74,
Dulce Carita (feat. Lennox & Zion),Dalmata,Dulce Carita (feat. Zion & Lennox),2021-12-15T01:36:43Z,231253,64,reggaeton
positions,Ariana Grande,Positions,2021-12-14T22:02:40Z,172324,81,pop
Candy,Doja Cat,Amala,2021-12-14T15:31:39Z,190920,81,
Juicy,Doja Cat,Amala (Deluxe Version),2021-12-14T15:27:28Z,199586,61,
Rules,Doja Cat,Hot Pink,2021-12-14T15:14:50Z,187040,75,
Streets,Doja Cat,Hot Pink,2021-12-14T15:10:55Z,226986,85,
Up,Cardi B,Up (Instrumental),2021-12-14T14:55:25Z,156944,73,
Money,Cardi B,Money,2021-12-14T14:47:01Z,183527,75,
Toda (Remix),Alex Rose,Toda (Remix),2021-12-13T21:34:46Z,367680,75,"trap latino, reggaeton, urbano latino"
Loca - Remix,KHEA,Loca Remix,2021-12-13T20:53:24Z,346460,71,"argentine trap, trap, trap latino"
This Could Be Us,Rae Sremmurd,SremmLife,2021-12-13T14:39:35Z,206306,80,
Pumped Up Kicks,Foster The People,Torches,2021-12-13T04:54:49Z,239600,88,
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],2021-12-13T04:50:10Z,248413,84,"french house, electronic, electro"
I Know What You Want (feat. Flipmode Squad),Busta Rhymes,It Ain't Safe No More. . .,2021-12-13T04:43:00Z,324306,74,east coast hip hop
MIDDLE OF THE NIGHT,Elley Duhé,MIDDLE OF THE NIGHT,2021-12-13T04:36:51Z,184447,79,
Bang Bang Bang Bang,Sohodolls,Ribbed Music for the Numb Generation,2021-12-13T04:17:11Z,181640,64,
Stay Fly,Three 6 Mafia,Most Known Unknown (Explicit),2021-12-12T19:18:01Z,236600,73,"southern hip hop, horrorcore, crunk, gangster rap"
I WANNA SEE SOME ASS (feat. jetsonmade),Jack Harlow,Sweet Action,2021-12-12T19:11:12Z,125302,66,
Supermassive Black Hole,Muse,Black Holes and Revelations,2021-12-12T18:51:56Z,212439,84,
Are You That Somebody,Aaliyah,Are You That Somebody,2021-12-12T18:24:36Z,265666,64,r&b
