Nombre,Artista,Álbum,Fecha añadida,Duración (ms),Popularidad,Géneros
over my dead body,Ex Habit,over my dead body,2025-06-05T20:31:12Z,164210,59,dark r&b
Soaked,Shy Smith,Soaked,2025-06-05T19:56:01Z,179449,78,
House Of Balloons / Glass Table Girls,The Weeknd,House Of Balloons (Original),2025-06-05T01:35:29Z,407315,81,
Come Through,Miyuze,Come Through,2025-06-04T18:06:28Z,135478,59,
Haunted,Beyoncé,BEYONCÉ [Platinum Edition],2025-06-04T17:13:12Z,369040,78,
Sexy Bitch (feat. Akon),David Guetta,One More Love,2025-06-04T17:09:11Z,195853,84,"edm, dance"
Mount Everest,Labrinth,Imagination & the Misfit Kid,2025-06-04T16:24:55Z,157497,79,
ExtraL (feat. Doechii),JENNIE,Ruby,2025-06-04T03:13:16Z,167754,84,k-pop
Feel Good Inc.,Gorillaz,Demon Days,2025-06-04T01:47:04Z,222640,91,
Ecstasy,Ciara,Ecstasy,2025-06-04T00:59:45Z,239216,60,
Tu No Metes Cabra,Bad Bunny,Tu No Metes Cabra,2025-05-27T08:09:08Z,170762,71,"reggaeton, trap latino, urbano latino, latin"
Tócate Tu Misma (feat. Bad Bunny),Alexis y Fido,Tócate Tu Misma (feat. Bad Bunny),2025-05-27T08:04:45Z,252373,54,"reggaeton, urbano latino"
DM,Mueka,DM,2025-05-27T07:50:40Z,248186,71,"trap latino, reggaeton"
LIKE A CHINK BITCH (G6),Eric Reprid,LIKE A CHINK BITCH (G6),2025-05-27T06:58:39Z,124645,49,
"La Paso Cabrón (feat. Gigolo y La Exce, Falsetto y Sammy, Mike Duran & Baby Angel)",Trap Capos,Trap Capos: Season 1,2025-05-26T15:17:53Z,303773,77,"trap latino, trap"
"Latintrap, Vol. 2",Ernesto Bianchi,"Latintrap, Vol. 2",2025-05-23T15:18:39Z,1336084,39,
Soaked - Nightcore,Luke Muzzic,Soaked,2025-05-22T17:15:21Z,158955,16,
Partition,Beyoncé,Partition,2025-05-18T23:24:19Z,319466,63,
"Grande, Grosso e Macio",MC PR,"Grande, Grosso e Macio",2025-05-18T23:18:04Z,127384,61,"phonk, brazilian phonk, brega funk, funk, brazilian funk"
Beat das Bi - Ela e Bi,DJ L7 da ZN,Beat das Bi - Ela e Bi,2025-05-18T22:59:18Z,154900,39,"funk, brazilian funk"
Les,Childish Gambino,Camp,2025-05-15T15:38:50Z,317293,86,
ALL I NEED - HARDSTYLE,POSEIDON,ALL I NEED - HARDSTYLE,2025-05-12T03:09:47Z,100965,38,hardstyle
Igloo,KISS OF LIFE,Lose Yourself,2025-05-12T02:45:48Z,131786,81,k-pop
Mtg Maldição Eterna 1.0,DJ GLK,Mtg Maldição Eterna 1.0,2025-05-12T02:45:10Z,137586,51,"phonk, brazilian phonk"
soaked x break the ice - acoustic,sunkissed,soaked x break the ice (acoustic),2025-05-12T02:42:05Z,173792,7,"opm, harana, pinoy indie, p-pop, kundiman"
My All,Mariah Carey,Pop Music: The Modern Era 1976-1999,2025-05-12T02:06:01Z,230760,51,christmas
Ева,Vintage,Sex,2025-05-12T02:05:22Z,248760,76,
fairy’s cry,r1naq,fairy’s cry,2025-05-12T02:04:41Z,151717,55,breakcore
É os Raul Estelionatário,DJ Surtado 011,É os Raul Estelionatário,2025-05-12T02:03:46Z,151512,59,
Enak sekali,Miralan abrlan,Enak sekali,2025-05-12T02:03:36Z,151146,38,
Lola,Jedis,Lola,2025-05-12T02:03:30Z,263000,73,reggaeton mexa
Ganas,Maikel Delacalle,Ganas,2025-05-11T21:56:05Z,237047,67,"trap latino, latin r&b"
Bandida,senizz,Bandida,2025-05-11T21:55:56Z,223137,15,argentine trap
LOS VOLTAJE,Sayfalse,LOS VOLTAJE,2025-05-11T04:22:56Z,99285,88,"phonk, brazilian phonk"
